Nome;|V| [kV];|V| [kV];|V| [kV];|V| [pu];|V| [pu];|V| [pu];arg(V) [°];arg(V) [°];arg(V) [°];Nome;|V| [kV];|V| [kV];|V| [kV];|V| [pu];|V| [pu];|V| [pu];arg(V) [°];arg(V) [°];arg(V) [°]
Barra 1794;13,955961;14,085988;13,699708;1,011302;1,020724;0,992732;-0,876396;-119,984304;119,65994;Barra 1794;14,038642;14,169445;13,78274;1,017293;1,026771;0,998749;-1,360211;-120,476585;119,170018
Barra 1925;13,955935;14,085951;13,699862;1,0113;1,020721;0,992744;-0,876165;-119,984507;119,659871;Barra 1925;14,038616;14,169408;13,782895;1,017291;1,026769;0,99876;-1,35998;-120,476788;119,169949
Barra 1942;13,955937;14,085954;13,699852;1,0113;1,020721;0,992743;-0,87618;-119,984493;119,659875;Barra 1942;14,038618;14,16941;13,782885;1,017291;1,026769;0,99876;-1,359995;-120,476774;119,169953
Barra 1977;13,955938;14,085955;13,699847;1,0113;1,020721;0,992743;-0,876187;-119,984487;119,659878;Barra 1977;14,038619;14,169411;13,78288;1,017291;1,026769;0,998759;-1,360003;-120,476768;119,169956
Barra 1988;13,955938;14,085956;13,699844;1,0113;1,020721;0,992742;-0,876192;-119,984483;119,659879;Barra 1988;14,038619;14,169412;13,782876;1,017291;1,026769;0,998759;-1,360007;-120,476764;119,169957
Barra 1795;13,95593;14,085943;13,699897;1,011299;1,020721;0,992746;-0,876112;-119,984553;119,659855;Barra 1795;14,03861;14,169399;13,78293;1,017291;1,026768;0,998763;-1,359927;-120,476834;119,169933
Barra 1835;13,955933;14,085947;13,699879;1,011299;1,020721;0,992745;-0,876139;-119,984529;119,659863;Barra 1835;14,038613;14,169404;13,782912;1,017291;1,026768;0,998762;-1,359954;-120,47681;119,169941
Barra 1845;13,955933;14,085948;13,699879;1,011299;1,020721;0,992745;-0,87614;-119,984528;119,659863;Barra 1845;14,038613;14,169404;13,782911;1,017291;1,026768;0,998762;-1,359955;-120,476809;119,169942
Barra 1856;13,955933;14,085947;13,699879;1,011299;1,020721;0,992745;-0,876139;-119,984529;119,659863;Barra 1856;14,038613;14,169404;13,782912;1,017291;1,026768;0,998762;-1,359954;-120,47681;119,169941
Barra 1864;13,955933;14,085947;13,699879;1,011299;1,020721;0,992745;-0,876139;-119,984529;119,659863;Barra 1864;14,038613;14,169404;13,782912;1,017291;1,026768;0,998762;-1,359954;-120,47681;119,169941
Barra 1721;13,955923;14,085934;13,699936;1,011299;1,02072;0,992749;-0,876054;-119,984604;119,659838;Barra 1721;14,038604;14,16939;13,782969;1,01729;1,026767;0,998766;-1,359869;-120,476885;119,169916
Barra 1762;13,955923;14,085934;13,699935;1,011299;1,02072;0,992749;-0,876055;-119,984602;119,659838;Barra 1762;14,038604;14,16939;13,782968;1,01729;1,026767;0,998766;-1,359871;-120,476883;119,169916
Barra 1694;13,955909;14,085914;13,700018;1,011298;1,020718;0,992755;-0,87593;-119,984712;119,659801;Barra 1694;14,03859;14,16937;13,783052;1,017289;1,026766;0,998772;-1,359745;-120,476993;119,169879
Barra 1670;13,955827;14,085795;13,700516;1,011292;1,02071;0,992791;-0,87518;-119,985368;119,659576;Barra 1670;14,038507;14,16925;13,783553;1,017283;1,026757;0,998808;-1,358995;-120,477649;119,169655
Barra 1622;13,955756;14,085693;13,700941;1,011287;1,020702;0,992822;-0,874541;-119,985926;119,659385;Barra 1622;14,038436;14,169148;13,78398;1,017278;1,02675;0,998839;-1,358356;-120,478208;119,169464
Barra 1655;13,955756;14,085693;13,700941;1,011287;1,020702;0,992822;-0,874541;-119,985926;119,659385;Barra 1655;14,038436;14,169148;13,78398;1,017278;1,02675;0,998839;-1,358356;-120,478208;119,169464
Barra 110;14,004048;14,085671;14,113684;1,014786;1,020701;1,022731;-0,309516;-120,392442;119,845431;Barra 110;14,080409;14,162488;14,192415;1,02032;1,026267;1,028436;-0,747003;-120,837828;119,402192
Barra 1596;13,955652;14,085544;13,701566;1,011279;1,020692;0,992867;-0,873602;-119,986748;119,659104;Barra 1596;14,038331;14,168998;13,784609;1,01727;1,026739;0,998885;-1,357416;-120,47903;119,169183
Barra 1567;13,955234;14,084941;13,704086;1,011249;1,020648;0,99305;-0,86981;-119,990064;119,657971;Barra 1567;14,03791;14,168391;13,787145;1,01724;1,026695;0,999068;-1,353624;-120,482346;119,168049
Barra 1609;13,955238;14,084947;13,704058;1,011249;1,020648;0,993048;-0,869853;-119,990027;119,657984;Barra 1609;14,037915;14,168398;13,787116;1,01724;1,026695;0,999066;-1,353667;-120,482309;119,168062
Barra 1743;13,95511;14,084762;13,704832;1,01124;1,020635;0,993104;-0,868689;-119,991045;119,657636;Barra 1743;14,037786;14,168212;13,787894;1,017231;1,026682;0,999123;-1,352503;-120,483327;119,167714
Barra 1706;13,955088;14,084731;13,704964;1,011238;1,020633;0,993113;-0,86849;-119,991219;119,657577;Barra 1706;14,037764;14,16818;13,788028;1,017229;1,02668;0,999132;-1,352304;-120,483501;119,167655
Barra 1776;13,955065;14,084698;13,705101;1,011237;1,02063;0,993123;-0,868285;-119,991399;119,657515;Barra 1776;14,037741;14,168147;13,788165;1,017228;1,026677;0,999142;-1,352098;-120,483681;119,167593
Barra 1744;13,95506;14,084691;13,705131;1,011236;1,02063;0,993125;-0,868239;-119,991438;119,657502;Barra 1744;14,037736;14,16814;13,788195;1,017227;1,026677;0,999145;-1,352053;-120,483721;119,16758
Barra 1771;13,95506;14,084691;13,705131;1,011236;1,02063;0,993125;-0,868239;-119,991438;119,657502;Barra 1771;14,037736;14,16814;13,788195;1,017227;1,026677;0,999145;-1,352053;-120,483721;119,16758
Barra 1827;13,95506;14,084691;13,705131;1,011236;1,02063;0,993125;-0,868239;-119,991438;119,657502;Barra 1827;14,037736;14,16814;13,788195;1,017227;1,026677;0,999145;-1,352053;-120,483721;119,16758
Barra 1643;13,955041;14,084664;13,705244;1,011235;1,020628;0,993134;-0,868069;-119,991587;119,657451;Barra 1643;14,037717;14,168112;13,788309;1,017226;1,026675;0,999153;-1,351883;-120,483869;119,167529
Barra 1667;13,955025;14,08464;13,705343;1,011234;1,020626;0,993141;-0,867919;-119,991718;119,657406;Barra 1667;14,0377;14,168088;13,788409;1,017225;1,026673;0,99916;-1,351733;-120,484;119,167484
Barra 1635;13,95502;14,084633;13,705374;1,011233;1,020626;0,993143;-0,867873;-119,991759;119,657392;Barra 1635;14,037695;14,168081;13,78844;1,017224;1,026673;0,999162;-1,351687;-120,484041;119,16747
Barra 1606;13,954996;14,084598;13,705517;1,011232;1,020623;0,993153;-0,867658;-119,991947;119,657328;Barra 1606;14,037671;14,168047;13,788584;1,017223;1,02667;0,999173;-1,351472;-120,484229;119,167406
Barra 1631;13,955;14,084604;13,705493;1,011232;1,020623;0,993152;-0,867694;-119,991916;119,657339;Barra 1631;14,037675;14,168052;13,78856;1,017223;1,02667;0,999171;-1,351507;-120,484198;119,167417
Barra 1530;13,954981;14,084577;13,705607;1,01123;1,020622;0,99316;-0,867523;-119,992065;119,657288;Barra 1530;14,037656;14,168025;13,788674;1,017221;1,026668;0,999179;-1,351336;-120,484347;119,167366
Barra 1521;13,95494;14,084518;13,705854;1,011228;1,020617;0,993178;-0,867151;-119,99239;119,657176;Barra 1521;14,037615;14,167965;13,788923;1,017218;1,026664;0,999197;-1,350965;-120,484673;119,167255
Barra 1548;13,95494;14,084518;13,705854;1,011228;1,020617;0,993178;-0,867151;-119,99239;119,657176;Barra 1548;14,037615;14,167965;13,788923;1,017218;1,026664;0,999197;-1,350965;-120,484673;119,167255
Barra 108;13,996686;14,084218;14,110576;1,014253;1,020596;1,022506;-0,324033;-120,402347;119,847036;Barra 108;14,075481;14,163534;14,191839;1,019962;1,026343;1,028394;-0,770459;-120,856886;119,394791
Barra 1494;13,954733;14,08422;13,7071;1,011213;1,020596;0,993268;-0,865276;-119,99403;119,656616;Barra 1494;14,037407;14,167666;13,790177;1,017203;1,026642;0,999288;-1,349089;-120,486313;119,166694
Barra 1475;13,95463;14,084071;13,70772;1,011205;1,020585;0,993313;-0,864343;-119,994846;119,656338;Barra 1475;14,037303;14,167516;13,790801;1,017196;1,026632;0,999333;-1,348156;-120,487129;119,166416
Barra 130;14,045799;14,083726;14,134071;1,017812;1,02056;1,024208;-0,189485;-120,327457;119,843112;Barra 130;14,108673;14,146572;14,198699;1,022368;1,025114;1,028891;-0,585226;-120,729662;119,441873
Barra 1448;13,954306;14,083605;13,709672;1,011182;1,020551;0,993454;-0,861407;-119,997414;119,655461;Barra 1448;14,036977;14,167047;13,792764;1,017172;1,026598;0,999476;-1,34522;-120,489697;119,165539
Barra 1470;13,954306;14,083605;13,709671;1,011182;1,020551;0,993454;-0,861409;-119,997413;119,655461;Barra 1470;14,036977;14,167047;13,792763;1,017172;1,026598;0,999476;-1,345221;-120,489696;119,165539
Barra 139;14,045537;14,083463;14,133808;1,017793;1,020541;1,024189;-0,189498;-120,327468;119,843098;Barra 139;14,108411;14,14631;14,198436;1,022349;1,025095;1,028872;-0,585239;-120,729672;119,441859
Barra 1455;13,954207;14,083462;13,710266;1,011174;1,020541;0,993498;-0,860513;-119,998196;119,655194;Barra 1455;14,036878;14,166904;13,793362;1,017165;1,026587;0,999519;-1,344325;-120,49048;119,165272
Barra 1428;13,954204;14,083459;13,710282;1,011174;1,02054;0,993499;-0,860489;-119,998217;119,655186;Barra 1428;14,036875;14,1669;13,793378;1,017165;1,026587;0,99952;-1,344301;-120,4905;119,165265
Barra 113;13,994309;14,083376;14,109646;1,01408;1,020535;1,022438;-0,324241;-120,404084;119,848782;Barra 113;14,073445;14,163042;14,191271;1,019815;1,026307;1,028353;-0,773913;-120,861926;119,393253
Barra 146;14,04542;14,083345;14,13369;1,017784;1,020532;1,02418;-0,189504;-120,327473;119,843092;Barra 146;14,108294;14,146192;14,198318;1,02234;1,025086;1,028864;-0,585245;-120,729677;119,441853
Barra 158;14,045371;14,083296;14,133641;1,01778;1,020529;1,024177;-0,189507;-120,327475;119,843089;Barra 158;14,108245;14,146143;14,198269;1,022337;1,025083;1,02886;-0,585247;-120,729679;119,44185
Barra 1400;13,954021;14,083194;13,711387;1,011161;1,020521;0,993579;-0,858826;-119,999672;119,65469;Barra 1400;14,03669;14,166634;13,79449;1,017151;1,026568;0,999601;-1,342638;-120,491955;119,164768
Barra 1418;13,954022;14,083195;13,711382;1,011161;1,020521;0,993578;-0,858833;-119,999664;119,65469;Barra 1418;14,036692;14,166635;13,794485;1,017152;1,026568;0,9996;-1,342645;-120,491948;119,164768
Barra 128;14,044417;14,082982;14,130698;1,017711;1,020506;1,023964;-0,199528;-120,331758;119,835764;Barra 128;14,106954;14,145496;14,194974;1,022243;1,025036;1,028621;-0,593289;-120,731959;119,436524
Barra 1380;13,953732;14,082778;13,713126;1,01114;1,020491;0,993705;-0,856211;-120,001959;119,653909;Barra 1380;14,0364;14,166216;13,796239;1,01713;1,026537;0,999727;-1,340022;-120,494243;119,163988
Barra 1399;13,953732;14,082779;13,713125;1,01114;1,020491;0,993705;-0,856212;-120,001958;119,653909;Barra 1399;14,0364;14,166216;13,796238;1,01713;1,026537;0,999727;-1,340024;-120,494241;119,163988
Barra 1377;13,953577;14,082555;13,714059;1,011129;1,020475;0,993772;-0,854807;-120,003187;119,65349;Barra 1377;14,036244;14,165991;13,797177;1,017119;1,026521;0,999795;-1,338618;-120,495471;119,163569
Barra 1381;13,953574;14,082551;13,714076;1,011129;1,020475;0,993774;-0,85478;-120,00321;119,653482;Barra 1381;14,036241;14,165987;13,797195;1,017119;1,026521;0,999797;-1,338591;-120,495494;119,163561
Barra 1359;13,953572;14,082548;13,714088;1,011128;1,020475;0,993774;-0,854763;-120,003226;119,653477;Barra 1359;14,036239;14,165984;13,797207;1,017119;1,026521;0,999798;-1,338574;-120,49551;119,163555
Barra 1321;13,953568;14,082541;13,714117;1,011128;1,020474;0,993777;-0,854719;-120,003264;119,653464;Barra 1321;14,036235;14,165977;13,797236;1,017118;1,02652;0,9998;-1,33853;-120,495548;119,163542
Barra 134;14,044674;14,082377;14,13356;1,01773;1,020462;1,024171;-0,189373;-120,329153;119,842328;Barra 134;14,107543;14,145218;14,198186;1,022286;1,025016;1,028854;-0,585114;-120,731357;119,441089
Barra 131;14,043773;14,082331;14,130045;1,017665;1,020459;1,023916;-0,200766;-120,332982;119,834514;Barra 131;14,106308;14,144842;14,194318;1,022196;1,024989;1,028574;-0,594528;-120,733183;119,435274
Barra 136;14,04345;14,082004;14,129716;1,017641;1,020435;1,023892;-0,201389;-120,333597;119,833885;Barra 136;14,105983;14,144514;14,193988;1,022173;1,024965;1,02855;-0,595151;-120,733798;119,434645
Barra 135;14,041815;14,080351;14,128056;1,017523;1,020315;1,023772;-0,204538;-120,336709;119,830706;Barra 135;14,104341;14,142853;14,19232;1,022054;1,024844;1,028429;-0,5983;-120,736909;119,431466
Barra 129;13,983169;14,079964;14,105846;1,013273;1,020287;1,022163;-0,325176;-120,412862;119,857615;Barra 129;14,063761;14,161132;14,189026;1,019113;1,026169;1,02819;-0,788767;-120,884857;119,38801
Barra 125;13,984121;14,079769;14,105658;1,013342;1,020273;1,022149;-0,32513;-120,411529;119,856268;Barra 125;14,064719;14,160936;14,188837;1,019183;1,026155;1,028177;-0,788721;-120,883524;119,386663
Barra 138;14,042496;14,079751;14,132616;1,017572;1,020272;1,024103;-0,189082;-120,332498;119,840819;Barra 138;14,105356;14,14258;14,197238;1,022127;1,024825;1,028785;-0,584824;-120,734701;119,43958
Barra 1330;13,950622;14,078303;13,731851;1,010915;1,020167;0,995062;-0,828035;-120,026617;119,645541;Barra 1330;14,033272;14,161714;13,815078;1,016904;1,026211;1,001093;-1,311841;-120,518905;119,155619
Barra 1310;13,950619;14,078298;13,731873;1,010914;1,020167;0,995063;-0,828003;-120,026645;119,645531;Barra 1310;14,033269;14,161709;13,815099;1,016904;1,026211;1,001094;-1,311809;-120,518933;119,155609
Barra 132;13,980064;14,078075;14,1038;1,013048;1,02015;1,022014;-0,32549;-120,41419;119,858935;Barra 132;14,061314;14,159907;14,187668;1,018936;1,02608;1,028092;-0,795259;-120,892462;119,383085
Barra 127;13,9802;14,078048;14,103772;1,013058;1,020148;1,022012;-0,325497;-120,413998;119,858746;Barra 127;14,06145;14,15988;14,18764;1,018946;1,026078;1,02809;-0,795266;-120,89227;119,382896
Barra 145;14,040735;14,077988;14,131921;1,017445;1,020144;1,024052;-0,189182;-120,335044;119,840097;Barra 145;14,103587;14,14081;14,196539;1,021999;1,024696;1,028735;-0,584924;-120,737246;119,438858
Barra 142;14,039115;14,07762;14,125315;1,017327;1,020117;1,023574;-0,209738;-120,341848;119,825456;Barra 142;14,101629;14,14011;14,189566;1,021857;1,024646;1,028229;-0,603502;-120,742046;119,426215
Barra 150;14,040757;14,077417;14,132128;1,017446;1,020103;1,024067;-0,188155;-120,336136;119,839508;Barra 150;14,103609;14,140235;14,196747;1,022001;1,024655;1,02875;-0,583897;-120,738338;119,438269
Barra 144;14,041444;14,076988;14,132073;1,017496;1,020072;1,024063;-0,1883;-120,337737;119,836966;Barra 144;14,104299;14,139805;14,196692;1,022051;1,024624;1,028746;-0,584043;-120,739939;119,435727
Barra 149;14,03934;14,076738;14,131344;1,017344;1,020053;1,02401;-0,189461;-120,336936;119,839692;Barra 149;14,102186;14,139554;14,195959;1,021898;1,024605;1,028693;-0,585203;-120,739138;119,438453
Barra 1242;13,949447;14,076611;13,738936;1,010829;1,020044;0,995575;-0,817372;-120,035951;119,642381;Barra 1242;14,03209;14,160011;13,822206;1,016818;1,026088;1,001609;-1,301176;-120,52824;119,152459
Barra 157;14,041032;14,075907;14,13186;1,017466;1,019993;1,024048;-0,187994;-120,339788;119,835458;Barra 157;14,103885;14,138719;14,196478;1,022021;1,024545;1,02873;-0,583737;-120,74199;119,434219
Barra 164;14,038239;14,07575;14,130887;1,017264;1,019982;1,023977;-0,189681;-120,338431;119,839372;Barra 164;14,10108;14,138562;14,195501;1,021817;1,024533;1,028659;-0,585424;-120,740632;119,438133
Barra 155;14,036811;14,075291;14,122976;1,01716;1,019949;1,023404;-0,214177;-120,346234;119,820974;Barra 155;14,099315;14,137771;14,187216;1,02169;1,024476;1,028059;-0,607942;-120,746431;119,421733
Barra 143;13,97395;14,075131;14,100596;1,012605;1,019937;1,021782;-0,326041;-120,417739;119,862488;Barra 143;14,056264;14,158048;14,185586;1,01857;1,025946;1,027941;-0,805887;-120,906246;119,376455
Barra 133;13,974445;14,075111;14,100572;1,012641;1,019936;1,021781;-0,326064;-120,417131;119,861885;Barra 133;14,056762;14,158028;14,185562;1,018606;1,025944;1,027939;-0,80591;-120,905639;119,375852
Barra 166;14,037566;14,07507;14,130204;1,017215;1,019933;1,023928;-0,190978;-120,33971;119,838063;Barra 166;14,100405;14,137879;14,194814;1,021768;1,024484;1,02861;-0,586721;-120,741911;119,436824
Barra 160;14,036583;14,07506;14,122744;1,017144;1,019932;1,023387;-0,214617;-120,346669;119,82053;Barra 160;14,099086;14,137539;14,186983;1,021673;1,024459;1,028042;-0,608382;-120,746866;119,421289
Barra 148;13,973818;14,074997;14,100461;1,012596;1,019927;1,021773;-0,326035;-120,417728;119,862491;Barra 148;14,056132;14,157913;14,18545;1,01856;1,025936;1,027931;-0,805881;-120,906236;119,376458
Barra 153;13,973815;14,074993;14,100458;1,012595;1,019927;1,021772;-0,326035;-120,417728;119,862491;Barra 153;14,056128;14,157909;14,185446;1,01856;1,025935;1,027931;-0,805881;-120,906235;119,376458
Barra 159;13,973809;14,074988;14,100452;1,012595;1,019927;1,021772;-0,326034;-120,417727;119,862491;Barra 159;14,056123;14,157904;14,185441;1,01856;1,025935;1,027931;-0,80588;-120,906235;119,376458
Barra 161;13,973814;14,074993;14,100457;1,012595;1,019927;1,021772;-0,326034;-120,417728;119,862491;Barra 161;14,056128;14,157909;14,185446;1,01856;1,025935;1,027931;-0,805881;-120,906235;119,376458
Barra 152;13,973738;14,074916;14,10038;1,01259;1,019921;1,021767;-0,326031;-120,417722;119,862493;Barra 152;14,056052;14,157831;14,185368;1,018554;1,02593;1,027925;-0,805877;-120,906229;119,376459
Barra 165;14,036333;14,074809;14,122491;1,017126;1,019914;1,023369;-0,214608;-120,346652;119,820539;Barra 165;14,098835;14,137286;14,186729;1,021655;1,024441;1,028024;-0,608373;-120,746848;119,421298
Barra 169;14,036226;14,074701;14,122382;1,017118;1,019906;1,023361;-0,214604;-120,346644;119,820543;Barra 169;14,098728;14,137178;14,18662;1,021647;1,024433;1,028016;-0,608369;-120,746841;119,421302
Barra 171;14,03604;14,074513;14,122193;1,017104;1,019892;1,023347;-0,214597;-120,346631;119,82055;Barra 171;14,098541;14,13699;14,18643;1,021633;1,02442;1,028002;-0,608362;-120,746828;119,421309
Barra 140;13,972551;14,073984;14,099348;1,012504;1,019854;1,021692;-0,32626;-120,41797;119,862723;Barra 140;14,055515;14,157553;14,185013;1,018516;1,02591;1,027899;-0,812304;-120,912771;119,370427
Barra 137;13,972618;14,073971;14,099334;1,012509;1,019853;1,021691;-0,326263;-120,417873;119,862629;Barra 137;14,055346;14,157302;14,184752;1,018503;1,025891;1,027881;-0,809961;-120,910292;119,372705
Barra 151;13,970278;14,072918;14,098188;1,012339;1,019777;1,021608;-0,326429;-120,41933;119,864072;Barra 151;14,052996;14,156247;14,183604;1,018333;1,025815;1,027797;-0,810127;-120,911748;119,374148
Barra 141;13,970889;14,072798;14,098063;1,012383;1,019768;1,021599;-0,326459;-120,418464;119,863219;Barra 141;14,053611;14,156127;14,183478;1,018378;1,025806;1,027788;-0,810156;-120,910882;119,373295
Barra 163;14,040154;14,071535;14,132048;1,017402;1,019676;1,024061;-0,183919;-120,348105;119,830047;Barra 163;14,103004;14,134327;14,196666;1,021957;1,024227;1,028744;-0,579663;-120,750306;119,428809
Barra 168;14,032682;14,070804;14,128776;1,016861;1,019623;1,023824;-0,190605;-120,346163;119,837919;Barra 168;14,095499;14,133593;14,193379;1,021413;1,024173;1,028506;-0,586349;-120,748362;119,43668
Barra 167;14,040498;14,069787;14,132403;1,017427;1,01955;1,024087;-0,181435;-120,348188;119,827604;Barra 167;14,10335;14,132571;14,197023;1,021982;1,024099;1,02877;-0,577178;-120,750389;119,426365
Barra 175;14,040574;14,069401;14,132481;1,017433;1,019522;1,024093;-0,180887;-120,348206;119,827064;Barra 175;14,103426;14,132184;14,197101;1,021987;1,024071;1,028775;-0,57663;-120,750407;119,425826
Barra 1551;13,924112;14,069195;13,787073;1,008994;1,019507;0,999063;-0,743959;-120,121185;119,649556;Barra 1551;14,006606;14,152551;13,870633;1,014971;1,025547;1,005118;-1,227751;-120,613483;119,159633
Barra 1552;13,924112;14,069195;13,787073;1,008994;1,019507;0,999063;-0,743959;-120,121185;119,649556;Barra 1552;14,006606;14,152551;13,870633;1,014971;1,025547;1,005118;-1,227751;-120,613483;119,159633
Barra 1574;13,924076;14,069201;13,787082;1,008991;1,019507;0,999064;-0,743943;-120,121239;119,649604;Barra 1574;14,00657;14,152557;13,870642;1,014969;1,025548;1,005119;-1,227735;-120,613536;119,159681
Barra 1525;13,924187;14,069183;13,787056;1,008999;1,019506;0,999062;-0,743992;-120,121073;119,649456;Barra 1525;14,006681;14,15254;13,870616;1,014977;1,025546;1,005117;-1,227784;-120,61337;119,159533
Barra 1540;13,924148;14,069189;13,787065;1,008996;1,019506;0,999063;-0,743975;-120,121132;119,649508;Barra 1540;14,006641;14,152546;13,870625;1,014974;1,025547;1,005118;-1,227767;-120,613429;119,159585
Barra 1707;13,924314;14,069163;13,787025;1,009008;1,019505;0,99906;-0,744048;-120,120882;119,649285;Barra 1707;14,006808;14,152519;13,870585;1,014986;1,025545;1,005115;-1,22784;-120,613179;119,159362
Barra 1738;13,924313;14,069163;13,787025;1,009008;1,019505;0,99906;-0,744048;-120,120882;119,649285;Barra 1738;14,006808;14,152519;13,870585;1,014986;1,025545;1,005115;-1,22784;-120,613179;119,159362
Barra 1741;13,924309;14,069164;13,787026;1,009008;1,019505;0,99906;-0,744046;-120,120889;119,649291;Barra 1741;14,006804;14,15252;13,870586;1,014986;1,025545;1,005115;-1,227838;-120,613186;119,159368
Barra 1770;13,924306;14,069164;13,787027;1,009008;1,019505;0,99906;-0,744046;-120,120893;119,649295;Barra 1770;14,006801;14,152521;13,870587;1,014986;1,025545;1,005115;-1,227838;-120,61319;119,159372
Barra 1775;13,924308;14,069164;13,787027;1,009008;1,019505;0,99906;-0,744046;-120,120891;119,649293;Barra 1775;14,006802;14,15252;13,870586;1,014986;1,025545;1,005115;-1,227838;-120,613188;119,15937
Barra 1605;13,924388;14,069151;13,787007;1,009014;1,019504;0,999058;-0,744081;-120,120769;119,649185;Barra 1605;14,006884;14,152507;13,870567;1,014992;1,025544;1,005114;-1,227873;-120,613067;119,159262
Barra 1625;13,924388;14,069151;13,787007;1,009014;1,019504;0,999058;-0,744081;-120,120769;119,649185;Barra 1625;14,006884;14,152507;13,870567;1,014992;1,025544;1,005114;-1,227873;-120,613067;119,159262
Barra 1633;13,924371;14,069154;13,787011;1,009012;1,019504;0,999059;-0,744074;-120,120795;119,649208;Barra 1633;14,006866;14,15251;13,870571;1,01499;1,025544;1,005114;-1,227866;-120,613093;119,159285
Barra 1668;13,924346;14,069158;13,787017;1,009011;1,019504;0,999059;-0,744063;-120,120832;119,649241;Barra 1668;14,006841;14,152514;13,870577;1,014989;1,025544;1,005114;-1,227855;-120,61313;119,159318
Barra 1704;13,924328;14,069161;13,787022;1,009009;1,019504;0,99906;-0,744055;-120,12086;119,649266;Barra 1704;14,006823;14,152517;13,870581;1,014987;1,025545;1,005115;-1,227847;-120,613157;119,159343
Barra 1488;13,924469;14,069138;13,786988;1,009019;1,019503;0,999057;-0,744117;-120,120648;119,649077;Barra 1488;14,006964;14,152494;13,870548;1,014997;1,025543;1,005112;-1,227909;-120,612946;119,159154
Barra 1516;13,924456;14,06914;13,786991;1,009019;1,019503;0,999057;-0,744111;-120,120667;119,649094;Barra 1516;14,006952;14,152496;13,870551;1,014996;1,025543;1,005112;-1,227903;-120,612965;119,159171
Barra 1579;13,924548;14,069126;13,786969;1,009025;1,019502;0,999056;-0,744152;-120,120529;119,64897;Barra 1579;14,007044;14,152482;13,870528;1,015003;1,025542;1,005111;-1,227944;-120,612826;119,159047
Barra 1581;13,924666;14,069107;13,786941;1,009034;1,019501;0,999054;-0,744204;-120,120351;119,648812;Barra 1581;14,007163;14,152463;13,8705;1,015012;1,025541;1,005109;-1,227996;-120,612648;119,158888
Barra 1550;13,924715;14,069099;13,786929;1,009037;1,0195;0,999053;-0,744226;-120,120278;119,648746;Barra 1550;14,007212;14,152455;13,870488;1,015015;1,02554;1,005108;-1,228018;-120,612575;119,158823
Barra 1514;13,924894;14,069071;13,786886;1,00905;1,019498;0,99905;-0,744305;-120,120008;119,648506;Barra 1514;14,007392;14,152427;13,870445;1,015028;1,025538;1,005105;-1,228097;-120,612306;119,158582
Barra 1536;13,924888;14,069072;13,786888;1,00905;1,019498;0,99905;-0,744302;-120,120017;119,648514;Barra 1536;14,007386;14,152428;13,870447;1,015028;1,025538;1,005105;-1,228095;-120,612315;119,158591
Barra 1480;13,925056;14,069045;13,786847;1,009062;1,019496;0,999047;-0,744377;-120,119764;119,648288;Barra 1480;14,007555;14,152401;13,870406;1,01504;1,025536;1,005102;-1,228169;-120,612061;119,158365
Barra 1496;13,925536;14,068969;13,786732;1,009097;1,019491;0,999039;-0,744589;-120,119042;119,647643;Barra 1496;14,008038;14,152324;13,870291;1,015075;1,025531;1,005094;-1,228381;-120,611339;119,15772
Barra 1431;13,925764;14,068933;13,786678;1,009113;1,019488;0,999035;-0,74469;-120,118698;119,647336;Barra 1431;14,008268;14,152288;13,870235;1,015092;1,025528;1,00509;-1,228482;-120,610995;119,157413
Barra 1423;13,926132;14,068874;13,78659;1,00914;1,019484;0,999028;-0,744853;-120,118144;119,646842;Barra 1423;14,008638;14,152229;13,870147;1,015119;1,025524;1,005083;-1,228645;-120,610441;119,156919
Barra 1456;13,926123;14,068876;13,786592;1,009139;1,019484;0,999028;-0,744854;-120,118157;119,646856;Barra 1456;14,008628;14,152231;13,870149;1,015118;1,025524;1,005083;-1,228646;-120,610455;119,156932
Barra 1390;13,927378;14,068677;13,786291;1,00923;1,019469;0,999007;-0,745404;-120,116269;119,645169;Barra 1390;14,009891;14,15203;13,869847;1,015209;1,025509;1,005061;-1,229196;-120,608566;119,155246
Barra 1413;13,927373;14,068678;13,786292;1,00923;1,019469;0,999007;-0,745404;-120,116275;119,645175;Barra 1413;14,009886;14,152031;13,869848;1,015209;1,025509;1,005061;-1,229197;-120,608573;119,155252
Barra 177;14,040603;14,068654;14,132751;1,017435;1,019468;1,024112;-0,179547;-120,349631;119,826297;Barra 177;14,103455;14,131434;14,197372;1,02199;1,024017;1,028795;-0,57529;-120,751833;119,425058
Barra 183;14,040614;14,0686;14,132762;1,017436;1,019464;1,024113;-0,179469;-120,349634;119,82622;Barra 183;14,103466;14,131379;14,197384;1,02199;1,024013;1,028796;-0,575212;-120,751835;119,424982
Barra 1372;13,927857;14,068601;13,786177;1,009265;1,019464;0,998998;-0,745616;-120,115547;119,644525;Barra 1372;14,010373;14,151953;13,869731;1,015244;1,025504;1,005053;-1,229409;-120,607845;119,154602
Barra 188;14,040616;14,068589;14,132764;1,017436;1,019463;1,024113;-0,179454;-120,349635;119,826206;Barra 188;14,103468;14,131369;14,197386;1,02199;1,024012;1,028796;-0,575198;-120,751836;119,424967
Barra 1358;13,929794;14,068293;13,785713;1,009405;1,019442;0,998965;-0,746473;-120,112631;119,641922;Barra 1358;14,012321;14,151644;13,869265;1,015386;1,025481;1,005019;-1,230266;-120,604928;119,151999
